date,o3,no,no2
2014-10-01 00:00:00,NA,NA,NA
2014-10-01 01:00:00,NA,NA,NA
2014-10-01 02:00:00,NA,9,59
2014-10-01 03:00:00,NA,6,57
2014-10-01 04:00:00,NA,7,50
2014-10-01 05:00:00,NA,6,56
2014-10-01 06:00:00,NA,79,59
2014-10-01 07:00:00,NA,10,45
2014-10-01 08:00:00,NA,9,42
2014-10-01 09:00:00,NA,78,72
2014-10-01 10:00:00,NA,86,81
2014-10-01 11:00:00,NA,54,67
2014-10-01 12:00:00,NA,74,71
2014-10-01 13:00:00,NA,53,64
2014-10-01 14:00:00,NA,42,64
2014-10-01 15:00:00,NA,36,68
2014-10-01 16:00:00,NA,4,35
2014-10-01 17:00:00,NA,2,27
2014-10-01 18:00:00,NA,0,17
2014-10-01 19:00:00,NA,1,16
2014-10-01 20:00:00,NA,1,15
2014-10-01 21:00:00,NA,0,14
2014-10-01 22:00:00,NA,0,12
2014-10-01 23:00:00,NA,1,15
2014-10-02 00:00:00,NA,0,9
2014-10-02 01:00:00,NA,NA,NA
2014-10-02 02:00:00,NA,0,3
2014-10-02 03:00:00,NA,0,2
2014-10-02 04:00:00,NA,0,1
2014-10-02 05:00:00,NA,0,1
2014-10-02 06:00:00,NA,2,12
2014-10-02 07:00:00,NA,16,34
2014-10-02 08:00:00,NA,12,44
2014-10-02 09:00:00,NA,9,31
2014-10-02 10:00:00,NA,4,26
2014-10-02 11:00:00,NA,6,26
2014-10-02 12:00:00,NA,7,26
2014-10-02 13:00:00,NA,12,27
2014-10-02 14:00:00,NA,8,28
2014-10-02 15:00:00,NA,6,24
2014-10-02 16:00:00,NA,6,21
2014-10-02 17:00:00,NA,5,21
2014-10-02 18:00:00,NA,5,26
2014-10-02 19:00:00,NA,3,29
2014-10-02 20:00:00,NA,6,28
2014-10-02 21:00:00,NA,2,25
2014-10-02 22:00:00,NA,12,23
2014-10-02 23:00:00,NA,9,21
2014-10-03 00:00:00,NA,7,24
2014-10-03 01:00:00,NA,NA,NA
2014-10-03 02:00:00,NA,3,13
2014-10-03 03:00:00,NA,1,9
2014-10-03 04:00:00,NA,1,7
2014-10-03 05:00:00,NA,4,10
2014-10-03 06:00:00,NA,45,32
2014-10-03 07:00:00,NA,67,42
2014-10-03 08:00:00,NA,35,40
2014-10-03 09:00:00,NA,20,34
2014-10-03 10:00:00,NA,13,28
2014-10-03 11:00:00,NA,16,27
2014-10-03 12:00:00,NA,14,28
2014-10-03 13:00:00,NA,10,22
2014-10-03 14:00:00,NA,5,16
2014-10-03 15:00:00,NA,2,13
2014-10-03 16:00:00,NA,7,19
2014-10-03 17:00:00,NA,9,22
2014-10-03 18:00:00,NA,5,22
2014-10-03 19:00:00,NA,6,24
2014-10-03 20:00:00,NA,4,22
2014-10-03 21:00:00,NA,3,21
