date,o3,no,no2
2014-10-01 00:00:00,NA,NA,NA
2014-10-01 01:00:00,0,119,74
2014-10-01 02:00:00,2,3,66
2014-10-01 03:00:00,0,7,63
2014-10-01 04:00:00,0,6,59
2014-10-01 05:00:00,0,57,65
2014-10-01 06:00:00,0,111,62
2014-10-01 07:00:00,12,13,50
2014-10-01 08:00:00,13,26,56
2014-10-01 09:00:00,10,58,69
2014-10-01 10:00:00,17,45,70
2014-10-01 11:00:00,28,22,59
2014-10-01 12:00:00,42,15,46
2014-10-01 13:00:00,43,15,54
2014-10-01 14:00:00,60,8,42
2014-10-01 15:00:00,63,8,47
2014-10-01 16:00:00,60,10,52
2014-10-01 17:00:00,52,1,31
2014-10-01 18:00:00,47,2,26
2014-10-01 19:00:00,37,1,30
2014-10-01 20:00:00,39,0,26
2014-10-01 21:00:00,39,1,23
2014-10-01 22:00:00,37,1,20
2014-10-01 23:00:00,30,1,24
2014-10-02 00:00:00,34,0,14
2014-10-02 01:00:00,38,0,10
2014-10-02 02:00:00,42,0,7
2014-10-02 03:00:00,41,0,6
2014-10-02 04:00:00,36,1,9
2014-10-02 05:00:00,39,0,7
2014-10-02 06:00:00,39,1,16
2014-10-02 07:00:00,28,2,25
2014-10-02 08:00:00,19,5,40
2014-10-02 09:00:00,25,1,33
2014-10-02 10:00:00,31,2,33
2014-10-02 11:00:00,33,2,30
2014-10-02 12:00:00,39,0,27
2014-10-02 13:00:00,42,0,23
2014-10-02 14:00:00,35,0,24
2014-10-02 15:00:00,33,0,22
2014-10-02 16:00:00,28,1,23
2014-10-02 17:00:00,26,0,23
2014-10-02 18:00:00,22,0,26
2014-10-02 19:00:00,19,0,30
2014-10-02 20:00:00,19,0,31
2014-10-02 21:00:00,18,0,31
2014-10-02 22:00:00,27,0,21
2014-10-02 23:00:00,32,0,17
2014-10-03 00:00:00,31,0,18
2014-10-03 01:00:00,27,1,20
2014-10-03 02:00:00,28,0,17
2014-10-03 03:00:00,36,0,10
2014-10-03 04:00:00,40,0,7
2014-10-03 05:00:00,33,1,10
2014-10-03 06:00:00,24,1,21
2014-10-03 07:00:00,13,5,34
2014-10-03 08:00:00,12,10,41
2014-10-03 09:00:00,23,2,33
2014-10-03 10:00:00,27,2,30
2014-10-03 11:00:00,38,1,22
2014-10-03 12:00:00,46,0,17
2014-10-03 13:00:00,45,0,19
2014-10-03 14:00:00,42,1,22
2014-10-03 15:00:00,40,1,23
2014-10-03 16:00:00,37,0,22
2014-10-03 17:00:00,33,0,23
2014-10-03 18:00:00,29,0,23
2014-10-03 19:00:00,29,0,23
2014-10-03 20:00:00,28,0,22
2014-10-03 21:00:00,26,0,24
2014-10-03 22:00:00,30,0,20
2014-10-03 23:00:00,29,0,19
2014-10-04 00:00:00,32,0,17
2014-10-04 01:00:00,32,0,16
2014-10-04 02:00:00,36,0,12
2014-10-04 03:00:00,37,0,10
2014-10-04 04:00:00,36,0,10
2014-10-04 05:00:00,36,0,9
2014-10-04 06:00:00,31,1,17
2014-10-04 07:00:00,27,1,22
2014-10-04 08:00:00,33,1,21
2014-10-04 09:00:00,41,1,15
2014-10-04 10:00:00,43,1,16
2014-10-04 11:00:00,45,0,15
2014-10-04 12:00:00,48,1,14
2014-10-04 13:00:00,53,1,12
2014-10-04 14:00:00,55,0,14
2014-10-04 15:00:00,58,1,14
2014-10-04 16:00:00,55,0,13
2014-10-04 17:00:00,50,0,14
2014-10-04 18:00:00,41,0,16
2014-10-04 19:00:00,40,0,17
2014-10-04 20:00:00,37,0,16
2014-10-04 21:00:00,37,0,16
2014-10-04 22:00:00,34,0,18
2014-10-04 23:00:00,32,0,20
2014-10-05 00:00:00,32,0,19
2014-10-05 01:00:00,32,0,19
2014-10-05 02:00:00,40,0,10
2014-10-05 03:00:00,42,0,7
2014-10-05 04:00:00,43,0,6
2014-10-05 05:00:00,36,0,8
2014-10-05 06:00:00,28,1,17
2014-10-05 07:00:00,27,2,20
2014-10-05 08:00:00,34,1,18
2014-10-05 09:00:00,39,1,18
2014-10-05 10:00:00,48,0,11
2014-10-05 11:00:00,51,2,15
2014-10-05 12:00:00,58,0,11
2014-10-05 13:00:00,53,0,15
2014-10-05 14:00:00,49,0,16
2014-10-05 15:00:00,50,0,14
2014-10-05 16:00:00,47,0,15
2014-10-05 17:00:00,45,0,15
2014-10-05 18:00:00,36,0,18
2014-10-05 19:00:00,32,0,20
2014-10-05 20:00:00,39,0,14
2014-10-05 21:00:00,38,0,16
2014-10-05 22:00:00,38,0,16
2014-10-05 23:00:00,42,0,12
2014-10-06 00:00:00,40,0,12
2014-10-06 01:00:00,39,0,11
2014-10-06 02:00:00,39,0,10
2014-10-06 03:00:00,37,0,10
2014-10-06 04:00:00,37,0,10
2014-10-06 05:00:00,34,1,15
2014-10-06 06:00:00,18,10,37
2014-10-06 07:00:00,17,13,42
2014-10-06 08:00:00,19,18,47
2014-10-06 09:00:00,25,27,46
2014-10-06 10:00:00,32,14,40
2014-10-06 11:00:00,39,14,44
2014-10-06 12:00:00,51,5,40
2014-10-06 13:00:00,64,7,42
2014-10-06 14:00:00,86,2,41
2014-10-06 15:00:00,96,4,48
2014-10-06 16:00:00,88,1,46
2014-10-06 17:00:00,65,0,48
2014-10-06 18:00:00,35,1,54
2014-10-06 19:00:00,15,2,61
2014-10-06 20:00:00,23,1,46
2014-10-06 21:00:00,16,3,52
2014-10-06 22:00:00,7,3,63
2014-10-06 23:00:00,3,7,66
2014-10-07 00:00:00,0,67,74
2014-10-07 01:00:00,0,56,70
2014-10-07 02:00:00,0,9,66
2014-10-07 03:00:00,6,1,50
2014-10-07 04:00:00,18,0,30
2014-10-07 05:00:00,17,4,31
2014-10-07 06:00:00,5,21,50
2014-10-07 07:00:00,1,61,53
2014-10-07 08:00:00,3,68,56
2014-10-07 09:00:00,6,58,61
2014-10-07 10:00:00,17,41,63
2014-10-07 11:00:00,29,34,74
2014-10-07 12:00:00,55,14,67
2014-10-07 13:00:00,62,14,66
2014-10-07 14:00:00,71,11,52
2014-10-07 15:00:00,75,14,55
2014-10-07 16:00:00,78,12,59
2014-10-07 17:00:00,34,8,93
2014-10-07 18:00:00,19,5,83
2014-10-07 19:00:00,16,1,82
2014-10-07 20:00:00,1,9,89
2014-10-07 21:00:00,0,28,85
2014-10-07 22:00:00,0,18,73
2014-10-07 23:00:00,0,81,74
2014-10-08 00:00:00,0,171,75
2014-10-08 01:00:00,0,146,68
2014-10-08 02:00:00,0,142,58
2014-10-08 03:00:00,0,190,54
2014-10-08 04:00:00,0,159,44
2014-10-08 05:00:00,0,188,47
2014-10-08 06:00:00,0,276,43
2014-10-08 07:00:00,0,309,47
2014-10-08 08:00:00,1,140,74
2014-10-08 09:00:00,12,50,75
2014-10-08 10:00:00,28,19,76
2014-10-08 11:00:00,45,13,59
2014-10-08 12:00:00,87,4,43
2014-10-08 13:00:00,120,2,37
2014-10-08 14:00:00,146,2,34
2014-10-08 15:00:00,152,1,35
2014-10-08 16:00:00,121,0,34
2014-10-08 17:00:00,91,0,35
2014-10-08 18:00:00,59,0,47
2014-10-08 19:00:00,44,1,57
2014-10-08 20:00:00,21,1,68
2014-10-08 21:00:00,10,1,74
2014-10-08 22:00:00,9,5,76
2014-10-08 23:00:00,1,73,95
2014-10-09 00:00:00,0,107,92
2014-10-09 01:00:00,0,196,89
2014-10-09 02:00:00,0,176,84
2014-10-09 03:00:00,0,122,85
2014-10-09 04:00:00,0,119,82
2014-10-09 05:00:00,0,105,77
2014-10-09 06:00:00,0,272,72
2014-10-09 07:00:00,0,259,77
2014-10-09 08:00:00,5,94,84
