#       O3      NO2     NO
2014-10-01_03	32	42	1
2014-10-01_04	32	42	1
2014-10-01_05	23	42	1
2014-10-01_06	16	43	2
2014-10-01_07	8	41	2
2014-10-01_08	2	43	5
2014-10-01_09	19.5	46	12
2014-10-01_10	37	28	2
2014-10-01_11	51	24	1
2014-10-01_12	54	28	3
2014-10-01_13	53	39	6
2014-10-01_14	58	38	5
2014-10-01_15	82	25	5
2014-10-01_16	98	15	2
2014-10-01_17	103	15	2
2014-10-01_18	115	15	2
2014-10-01_19	114	14	1
2014-10-01_20	87	14	1
2014-10-01_21	78	16	0
2014-10-01_22	70	15	0
2014-10-01_23	71	15	0
2014-10-02_00	65	15	0
2014-10-02_01	63	13	0
2014-10-02_02	54	14	0
2014-10-02_03	52	11	0
2014-10-02_04	58	9	0
2014-10-02_05	58	7	0
2014-10-02_06	59	6	0
2014-10-02_07	62	4	0
2014-10-02_08	65	5	0
2014-10-02_09	55	11	0
2014-10-02_10	45	22	0
2014-10-02_11	34	31	3
2014-10-02_12	46	21	4
2014-10-02_13	55	18	3
2014-10-02_14	60	15	3
2014-10-02_15	64	15	3
2014-10-02_16	65	13	3
2014-10-02_17	51	17	3
2014-10-02_18	51	13	3
2014-10-02_19	48	13	3
2014-10-02_20	41	18	3
2014-10-02_21	37	20	1
2014-10-02_22	35	22	1
2014-10-02_23	36	22	1
2014-10-03_00	36	24	1
2014-10-03_01	43	17	0
2014-10-03_02	47	14	0
2014-10-03_03	45	15	0
2014-10-03_04	39	17.5	0
2014-10-03_05	33	20	0
2014-10-03_06	45	11	0
2014-10-03_07	50	6	0
2014-10-03_08	45	11	0
2014-10-03_09	32.5	16	0
2014-10-03_10	20	29	2
2014-10-03_11	29	27	5
2014-10-03_12	39	21	4
2014-10-03_13	45	17	3
2014-10-03_14	58	11	3
2014-10-03_15	64	9	2
2014-10-03_16	63	10	3
2014-10-03_17	59	12	4
2014-10-03_18	62	9	2
2014-10-03_19	56.5	11	1.66666666666667
2014-10-03_20	51	13	1.33333333333333
2014-10-03_21	46	15	1
2014-10-03_22	44	16	0
2014-10-03_23	43	17	0
2014-10-04_00	42	18	0
2014-10-04_01	44	16	0
2014-10-04_02	42	16	0
2014-10-04_03	47	12	0
2014-10-04_04	45	10.5	0
2014-10-04_05	49	9	0
2014-10-04_06	51	7	0
2014-10-04_07	50	7	0
2014-10-04_08	52	5	0
2014-10-04_09	47.5	8	0
2014-10-04_10	43	14	1
2014-10-04_11	44	15	1
2014-10-04_12	52	13	2
2014-10-04_13	55	12	2
2014-10-04_14	58	9	1
2014-10-04_15	64	7	1
2014-10-04_16	69	6	1
2014-10-04_17	70	6	1
2014-10-04_18	72	6	1
2014-10-04_19	70	6	1
2014-10-04_20	64	8	1
2014-10-04_21	57	10	1
2014-10-04_22	55	12	0
2014-10-04_23	51	13	0
2014-10-05_00	53	9	0
2014-10-05_01	49	12	0
2014-10-05_02	47	14	0
2014-10-05_03	48	12	0
2014-10-05_04	46	10	0
2014-10-05_05	53	8	0
2014-10-05_06	55	6	0
2014-10-05_07	55	4	0
2014-10-05_08	51	5	0
2014-10-05_09	46	11	0
2014-10-05_10	41	14	1
2014-10-05_11	52	8	1
2014-10-05_12	54	7	2
2014-10-05_13	62	5	1
2014-10-05_14	68	4	1
2014-10-05_15	72	4	0
2014-10-05_16	67	7	1
2014-10-05_17	63	8	2
2014-10-05_18	65	7	1
2014-10-05_19	62	9	2
2014-10-05_20	62	8	1
2014-10-05_21	52	14	1
2014-10-05_22	46	17	0
2014-10-05_23	54	11	0
2014-10-06_00	52	12	0
2014-10-06_01	48	15	0
2014-10-06_02	53	11	0
2014-10-06_03	55	8	0
2014-10-06_04	53	7.5	0
2014-10-06_05	52	7	0
2014-10-06_06	52	7	0
2014-10-06_07	47	9	0
2014-10-06_08	50	8	0
2014-10-06_09	44	14	0
2014-10-06_10	38	20	2
2014-10-06_11	41	22	6
2014-10-06_12	46	20	5
2014-10-06_13	53	21	7
2014-10-06_14	65	23	5
2014-10-06_15	82	26	5
2014-10-06_16	100	23	3
2014-10-06_17	123	21	2
2014-10-06_18	130	24	1
2014-10-06_19	113	28	2
2014-10-06_20	90	30	2
2014-10-06_21	66	32	1
2014-10-06_22	45	36	1
2014-10-06_23	39	35	1
2014-10-07_00	31	41	1
2014-10-07_01	21	48	1
2014-10-07_02	5	59	5
2014-10-07_03	2	60	20
2014-10-07_04	2	54.5	14.5
2014-10-07_05	3	49	9
2014-10-07_06	8	42	2
2014-10-07_07	32	22	1
2014-10-07_08	39	16	1
2014-10-07_09	29.5	20	1
2014-10-07_10	20	30	4
2014-10-07_11	16	36	12
2014-10-07_12	18	42	19
2014-10-07_13	32	49	23
2014-10-07_14	54	49	14
2014-10-07_15	83	40	6
2014-10-07_16	106	35	3
2014-10-07_17	121	30	2
2014-10-07_18	122	25	1
2014-10-07_19	119	29	1
2014-10-07_20	65	66	5
2014-10-07_21	31	73	5
2014-10-07_22	26	68	2
2014-10-07_23	6	77	6
2014-10-08_00	3	76	18
2014-10-08_01	2	68	23
2014-10-08_02	2	60	21
2014-10-08_03	2	60	37
2014-10-08_04	2	55.5	47.5
2014-10-08_05	3	51	58
2014-10-08_06	3	53	51
2014-10-08_07	3	50	38
2014-10-08_08	2	44	34
2014-10-08_09	2.5	42	42
2014-10-08_10	3	41	47
2014-10-08_11	16	48	24
2014-10-08_12	36	47	16
2014-10-08_13	62	42	10
2014-10-08_14	85	36	6
2014-10-08_15	128	18	1
2014-10-08_16	157	16	1
2014-10-08_17	176	19	0
2014-10-08_18	179	29	1
2014-10-08_19	143	31	1
2014-10-08_20	104	35	2
2014-10-08_21	90	43	2
2014-10-08_22	67	49	2
2014-10-08_23	40	57	4
2014-10-09_00	35	58	5
2014-10-09_01	35	57	5
2014-10-09_02	21	65	6
2014-10-09_03	7	77	8
2014-10-09_04	8	74	8
2014-10-09_05	6	71	8
2014-10-09_06	6	64	10
2014-10-09_07	13	58	7
2014-10-09_08	21	45	7
2014-10-09_09	17	35	6
2014-10-09_10	13	52	15
2014-10-09_11	32	51	16
2014-10-09_12	52	54	13
2014-10-09_13	75	57	11
2014-10-09_14	97	57	8
2014-10-09_15	122	52	5
2014-10-09_16	157	34	2
2014-10-09_17	162	20	1
2014-10-09_18	169	18	1
2014-10-09_19	174	20	1
2014-10-09_20	158	34	1
2014-10-09_21	107	54	2
2014-10-09_22	65	64	3
2014-10-09_23	51	58	4
2014-10-10_00	34	59	5
2014-10-10_01	24	66	6
2014-10-10_02	10	79	8
2014-10-10_03	16	70	8
2014-10-10_04	13	66	8
2014-10-10_05	11	62	8
2014-10-10_06	35	42	6
2014-10-10_07	50	27	5
2014-10-10_08	28	36	8
2014-10-10_09	23.5	37	8
2014-10-10_10	19	40	11
2014-10-10_11	19	57	28
2014-10-10_12	37	68	25
2014-10-10_13	66	65	14
2014-10-10_14	105	59	8
2014-10-10_15	137	33	3
2014-10-10_16	150	20	1
