#       O3      NO2     NO
2014-10-01_03	57	0	0
2014-10-01_04	57	0	0
2014-10-01_05	48	13.5	2
2014-10-01_06	17	27	4
2014-10-01_07	6	28	0
2014-10-01_08	5	33	1
2014-10-01_09	18.5	13	0
2014-10-01_10	32	3	0
2014-10-01_11	2	35	19
2014-10-01_12	3	42	19
2014-10-01_13	26	43	6
2014-10-01_14	64	33	2
2014-10-01_15	86	23	1
2014-10-01_16	66	23	3
2014-10-01_17	58	23	2
2014-10-01_18	59	17	1
2014-10-01_19	77	8	0
2014-10-01_20	75	7	0
2014-10-01_21	64	12	3
2014-10-01_22	50	23	2
2014-10-01_23	42	29	2
2014-10-02_00	45	23	6
2014-10-02_01	40	19	3
2014-10-02_02	44	6	0
2014-10-02_03	48	1	0
2014-10-02_04	50	0	0
2014-10-02_05	53	0.5	0
2014-10-02_06	60	1	0
2014-10-02_07	63	2	0
2014-10-02_08	59	2	0
2014-10-02_09	55.5	2	0
2014-10-02_10	52	5	0
2014-10-02_11	49	10	0
2014-10-02_12	29	30	2
2014-10-02_13	40	19	2
2014-10-02_14	14	42	11
2014-10-02_15	36	22	6
2014-10-02_16	43	9	0
2014-10-02_17	43	8	0
2014-10-02_18	41	8	0
2014-10-02_19	42	7	0
2014-10-02_20	41	7	0
2014-10-02_21	40	9	0
2014-10-02_22	35	14	1
2014-10-02_23	32	14	0
2014-10-03_00	31	16	0
2014-10-03_01	16	31	1
2014-10-03_02	12	38	4
2014-10-03_03	0	51	17
2014-10-03_04	0	49	25
2014-10-03_05	0	33.5	16.5
2014-10-03_06	27	18	8
2014-10-03_07	21	23	0
2014-10-03_08	27	14	0
2014-10-03_09	21.5	30	1
2014-10-03_10	16	25	1
2014-10-03_11	10	31	4
2014-10-03_12	13	29	6
2014-10-03_13	21	25	9
2014-10-03_14	31	18	4
2014-10-03_15	39	14	3
2014-10-03_16	38	15	3
2014-10-03_17	37	14	2
2014-10-03_18	35	19	3
2014-10-03_19	39	12	2
2014-10-03_20	38	12	1
2014-10-03_21	22	27	3
2014-10-03_22	18	30	2
2014-10-03_23	19	30	2
2014-10-04_00	19	30	1
2014-10-04_01	19	31	2
2014-10-04_02	15	33	3
2014-10-04_03	15	34	2
2014-10-04_04	21	25	1
2014-10-04_05	25	21.5	1
2014-10-04_06	20	18	1
2014-10-04_07	17	23	1
2014-10-04_08	23	15	0
2014-10-04_09	23	33	2
2014-10-04_10	23	20	1
2014-10-04_11	22	20	4
2014-10-04_12	38	9	2
2014-10-04_13	40	9	3
2014-10-04_14	44	7	2
2014-10-04_15	47	7	1
2014-10-04_16	48	8	2
2014-10-04_17	48	10	3
2014-10-04_18	50	8	2
2014-10-04_19	49	8	1
2014-10-04_20	50	7	1
2014-10-04_21	46	10	1
2014-10-04_22	39	15	0
2014-10-04_23	34	19	1
2014-10-05_00	22	30	2
2014-10-05_01	27	26	2
2014-10-05_02	30	20	1
2014-10-05_03	22	24	1
2014-10-05_04	33	12	0
2014-10-05_05	33	20	0.5
2014-10-05_06	17	28	1
2014-10-05_07	19	24	1
2014-10-05_08	22	19	0
2014-10-05_09	25.5	17	0
2014-10-05_10	29	13	1
2014-10-05_11	18	27	8
2014-10-05_12	40	9	2
2014-10-05_13	42	10	3
2014-10-05_14	41	12	3
2014-10-05_15	43	12	3
2014-10-05_16	50	8	2
2014-10-05_17	49	9	2
2014-10-05_18	52	6	1
2014-10-05_19	53	6	1
2014-10-05_20	53	6	1
2014-10-05_21	51	8	0
2014-10-05_22	53	7	0
2014-10-05_23	53	8	0
2014-10-06_00	52	8	0
2014-10-06_01	39	19	0
2014-10-06_02	39	20	1
2014-10-06_03	41	14	0
2014-10-06_04	45	8	0
2014-10-06_05	8	25	6.5
2014-10-06_06	4	42	13
2014-10-06_07	0	42	23
2014-10-06_08	0	41	19
2014-10-06_09	0.5	39	15
2014-10-06_10	1	40	38
2014-10-06_11	11	44	23
2014-10-06_12	30	25	8
2014-10-06_13	45	12	4
2014-10-06_14	51	10	2
2014-10-06_15	58	8	2
2014-10-06_16	59	10	2
2014-10-06_17	61	10	2
2014-10-06_18	62	9	2
2014-10-06_19	60	7	1
2014-10-06_20	57	10	1
2014-10-06_21	56	15	1
2014-10-06_22	32	33	2
2014-10-06_23	12	46	4
2014-10-07_00	23	34	1
2014-10-07_01	7	46	21
2014-10-07_02	0	53	27
2014-10-07_03	0	51	20
2014-10-07_04	0	47	27
2014-10-07_05	0	45.5	27.5
2014-10-07_06	0	44	28
2014-10-07_07	0	43	52
2014-10-07_08	0	37	50
2014-10-07_09	0	38	54
2014-10-07_10	0	43	112
2014-10-07_11	0	47	101
2014-10-07_12	5	54	38
2014-10-07_13	25	37	16
2014-10-07_14	22	49	25
2014-10-07_15	43	28	6
2014-10-07_16	51	26	4
2014-10-07_17	55	25	3
2014-10-07_18	60	22	3
2014-10-07_19	60	18	2
2014-10-07_20	58	18	2
2014-10-07_21	50	24	3
2014-10-07_22	31	43	6
2014-10-07_23	19	51	7
2014-10-08_00	25	41	6
2014-10-08_01	0	57	84
2014-10-08_02	0	47	30
2014-10-08_03	0	45	38
2014-10-08_04	0	45	38
2014-10-08_05	0	42.5	63
2014-10-08_06	0	40	88
2014-10-08_07	0	38	99
2014-10-08_08	0	36	85
2014-10-08_09	0	33	93
2014-10-08_10	0	36	88
2014-10-08_11	2	51	86
2014-10-08_12	27	34	10
2014-10-08_13	48	22	5
2014-10-08_14	70	11	2
2014-10-08_15	77	14	2
2014-10-08_16	71	12	2
2014-10-08_17	71	9	1
2014-10-08_18	78	7	1
2014-10-08_19	97	16	3
2014-10-08_20	86	19	2
2014-10-08_21	60	25	0
2014-10-08_22	29	41	1
2014-10-08_23	16	49	3
2014-10-09_00	26	39	1
2014-10-09_01	30	28	0
2014-10-09_02	26	27	0
2014-10-09_03	29	23	0
2014-10-09_04	3	40	31
2014-10-09_05	0	41.5	59.5
2014-10-09_06	0	43	88
2014-10-09_07	0	42	61
2014-10-09_08	0	39	68
2014-10-09_09	0.5	42	61
2014-10-09_10	1	48	39
2014-10-09_11	4	63	48
2014-10-09_12	16	57	36
2014-10-09_13	35	39	13
2014-10-09_14	55	24	5
2014-10-09_15	64	26	6
2014-10-09_16	70	20	5
2014-10-09_17	76	14	2
2014-10-09_18	75	21	6
2014-10-09_19	77	16	2
2014-10-09_20	77	15	1
2014-10-09_21	72	20	2
2014-10-09_22	60	31	3
2014-10-09_23	49	38	6
2014-10-10_00	51	28	1
2014-10-10_01	37	32	2
2014-10-10_02	0	62	65
2014-10-10_03	0	62	46
2014-10-10_04	0	49	57
2014-10-10_05	0	48.5	73
2014-10-10_06	0	48	89
2014-10-10_07	0	48	64
2014-10-10_08	0	49	45
2014-10-10_09	2	46	15
2014-10-10_10	4	42	14
2014-10-10_11	2	69	66
2014-10-10_12	26	43	12
2014-10-10_13	55	25	4
2014-10-10_14	65	26	4
2014-10-10_15	80	30	3
2014-10-10_16	89	18	1
2014-10-10_17	86	10	0
2014-10-10_18	88	8	0
2014-10-10_19	78	10	0
2014-10-10_20	93	12	0
2014-10-10_21	73	19	0
2014-10-10_22	42	39	3
2014-10-10_23	16	65	5
2014-10-11_00	4	77	20
2014-10-11_01	3	62	7
2014-10-11_02	7	46	3
2014-10-11_03	22	31	0
2014-10-11_04	10	43	1
2014-10-11_05	0	46	47.5
2014-10-11_06	0	49	94
2014-10-11_07	0	46	117
2014-10-11_08	3	45	80
2014-10-11_09	23.5	19	0
2014-10-11_10	44	7	0
2014-10-11_11	58	4	0
2014-10-11_12	77	5	0
2014-10-11_13	79	6	0
2014-10-11_14	78	7	0
2014-10-11_15	82	9	0
2014-10-11_16	86	6	0
2014-10-11_17	80	4	0
2014-10-11_18	77	2	0
2014-10-11_19	72	2	0
2014-10-11_20	71	2	0
2014-10-11_21	64	4	0
2014-10-11_22	59	9	0
2014-10-11_23	56	11	0
2014-10-12_00	57	8	0
2014-10-12_01	50	13	0
2014-10-12_02	4	42	7
2014-10-12_03	9	32	4
2014-10-12_04	4	41	0
2014-10-12_05	8	40	3
2014-10-12_06	0	39	6
2014-10-12_07	0	42	21
2014-10-12_08	0	42	32
2014-10-12_09	0	44	27
2014-10-12_10	0	45	17
2014-10-12_11	2	39	16
2014-10-12_12	11	41	18
2014-10-12_13	34	24	4
2014-10-12_14	55	7	0
2014-10-12_15	64	5	0
2014-10-12_16	64	7	0
2014-10-12_17	70	5	0
2014-10-12_18	68	5	0
2014-10-12_19	67	4	0
2014-10-12_20	65	5	0
2014-10-12_21	60	10	0
2014-10-12_22	50	15	0
2014-10-12_23	46	15	0
2014-10-13_00	29	30	1
